Title,ID,Comment
[情報]車主首選 玉山eTag聯名卡加油享10%,tenchimuyo,: 自從加油不算入一般消費，就冰了
[情報]車主首選 玉山eTag聯名卡加油享10%,VCSEL,: 這張限制很多吧！已經不太用了
[情報]車主首選 玉山eTag聯名卡加油享10%,shhome222,: 這不是要消費多少才有，不包含加油
[情報]車主首選 玉山eTag聯名卡加油享10%,griffick,: 業配功力很差
[情報]車主首選 玉山eTag聯名卡加油享10%,DUKEYANG,: 業配 3000以上非加油消費 回饋加油5％限100
[情報]車主首選 玉山eTag聯名卡加油享10%,operatorm,": 玉哆jcb uu 2張搶到10%,加油較快"
[情報]車主首選 玉山eTag聯名卡加油享10%,pigchang,: 速邁樂似乎回饋比較多
[情報]車主首選 玉山eTag聯名卡加油享10%,reifind,: 好像很爛的卡也.... 辦這種卡是要做什麼啊.....
[情報]車主首選 玉山eTag聯名卡加油享10%,minnieji,: 真的不喜歡要求刷多少才有優惠的信用卡，每次消費都要想
[情報]車主首選 玉山eTag聯名卡加油享10%,minnieji,: 一下算一下很麻煩餒@@
[情報]車主首選 玉山eTag聯名卡加油享10%,sggs,: 這張只有JCB 10%的功能
[情報]車主首選 玉山eTag聯名卡加油享10%,b2846972926,: 這張超爛
[情報]車主首選 玉山eTag聯名卡加油享10%,corey5048,: 搶到JCB10%也沒辦法拿來加油啊
[情報]車主首選 玉山eTag聯名卡加油享10%,nuc1earsub,: 搶到 10% 可以加油啊  全國表示
[情報]車主首選 玉山eTag聯名卡加油享10%,gensty,: 現在的葉佩雯怎麼都寫成這樣啊...........
[情報]車主首選 玉山eTag聯名卡加油享10%,redeye621,: 這張我有耶！拿來機車全國自助加油就可以保有隔年的道
[情報]車主首選 玉山eTag聯名卡加油享10%,redeye621,: 路救援，雖然回饋很爛，但是道路救援門檻算很低了吧
[情報]車主首選 玉山eTag聯名卡加油享10%,redeye621,: 機車用這張加12次油少賺的回饋也一點點而已
[情報]車主首選 玉山eTag聯名卡加油享10%,ooxxboy,: 這張真的只剩道路救援的功能，門檻低好達成，其他...
[情報]車主首選 玉山eTag聯名卡加油享10%,ooxxboy,: 就是一張接近0回饋的廢卡，如果道路救援一取消，絕對剪
[情報]車主首選 玉山eTag聯名卡加油享10%,dastinc,: 平常拿中油捷利卡就10%了 廢
[情報]車主首選 玉山eTag聯名卡加油享10%,sd929598,: 樓上的。那是員工才有的
[情報]車主首選 玉山eTag聯名卡加油享10%,piscesanitas,: 同一樓
[情報]車主首選 玉山eTag聯名卡加油享10%,u3702006,: 這張只剩每個月搶JCB 10%的功能
[情報]車主首選 玉山eTag聯名卡加油享10%,tony710519,: 這張是拿來當道路救援用，門檻超低
[情報]車主首選 玉山eTag聯名卡加油享10%,sampohbk,: 只拿來保持免費道路救援用
[情報]車主首選 玉山eTag聯名卡加油享10%,lopin,: 加油沒有
Re: [問題] 玉山eTag聯名卡送7-11咖啡問題,dakook,:符合條件資格後帳單上有寫 要去ibon操作
Re: [問題] 玉山eTag聯名卡送7-11咖啡問題,wkwtb,:應該是到ibon，紅利點數、玉山銀行、輸入號碼認證
Re: [問題] 玉山eTag聯名卡送7-11咖啡問題,trickyhuman,:喝完了!ibon首頁-信用卡-玉山-身分證-前八碼-背3碼
Re: [問題] 玉山eTag聯名卡送7-11咖啡問題,nickboys,:只要入賬就可以領 大約3天
Re: [問題] 玉山eTag聯名卡送7-11咖啡問題,dayew,:請問咖啡券只能換熱拿鐵?還是可以改冰奶茶之類其他飲料呢?
Re: [問題] 玉山eTag聯名卡送7-11咖啡問題,pigchang,":如果喵喵和ETC哆啦A夢兩張同時辦,可同時參加新戶活動嗎?"
[問題] 玉山eTag聯名卡送7-11咖啡問題,butkam,:etag非必要
[問題] 玉山eTag聯名卡送7-11咖啡問題,butkam,:但要選1就要辦
[問題] 玉山eTag聯名卡送7-11咖啡問題,GND,:感謝樓上大大的回答 ^_^
[問題] 玉山eTag聯名卡送7-11咖啡問題,gucci2,:有玉山的Debit卡不知道算新戸還舊戸? XD
[問題] 玉山eTag聯名卡送7-11咖啡問題,flypenguin,:Debit card 不屬於 credit card ，應該算新戶吧
[問題] 玉山eTag聯名卡送7-11咖啡問題,killholic,:關於首刷699，只要一筆嗎？還是五筆？
[問題] 玉山eTag聯名卡送7-11咖啡問題,flypenguin,:一筆啊  XD
[問題] 玉山eTag聯名卡送7-11咖啡問題,gucci2,:中午問了玉山客服說Debit也是信用卡所以算舊戶XD
[問題] 玉山eTag聯名卡送7-11咖啡問題,breakingdown,:舊戶是4杯嗎？
[問題] 玉山eTag聯名卡送7-11咖啡問題,breakingdown,:(記得舊戶也有只是比較少)
[問題] 玉山eTag聯名卡送7-11咖啡問題,flypenguin,:嗯 舊戶是 200 or 四杯，debit 卡也算那滿悲劇的…
[問題] 玉山eTag聯名卡送7-11咖啡問題,flypenguin,:很多人都開戶就順便開了，也沒在用。
[問題] 玉山、國泰世華eTag聯名卡選擇？,alex1973,":你都知道他們有哪些差異了, 剩下的是你自己的需求問題,"
[問題] 玉山、國泰世華eTag聯名卡選擇？,alex1973,":問別人得到的答案是別人的需求, 不是你的需求."
[問題] 玉山、國泰世華eTag聯名卡選擇？,butkam,:自己算算看你一個月的油錢 悠遊卡加值的費用跟停車的需求
[問題] 玉山、國泰世華eTag聯名卡選擇？,wangbadan,:2張都辦不就得了
[問題] 玉山、國泰世華eTag聯名卡選擇？,vxat,:我就是兩張都辦...
[問題] 玉山、國泰世華eTag聯名卡選擇？,kim777,:可以兩張都辦~但登錄車號只能選一張信用卡扣
